mean_idle_time,mean_idle_time-Secretary,mean_idle_time-Nurse,mean_idle_time-Doctor,mean_waiting_time,mean_waiting_time-1,mean_waiting_time-2,mean_waiting_time-3,mean_waiting_time-4,mean_waiting_time-5,mean_waiting_time-Registration,mean_waiting_time-Screening,mean_waiting_time-Medical_Care,mean_waiting_time-Exam_Medicine,mean_size_queue,mean_size_queue-Registration,mean_size_queue-Screening,mean_size_queue-Medical_Care,mean_size_queue-Exam_Medicine
0.40,0.50,0.50,0.20,15.58,45.38,18.29,11.54,8.76,6.71,2.57,0.81,11.95,0.63,0.37,0.25,0.07,1.15,0.02
0.33,0.43,0.44,0.10,37.85,154.62,53.49,17.51,10.86,10.09,3.18,1.44,32.95,1.02,1.00,0.34,0.14,3.48,0.04
0.36,0.45,0.48,0.16,30.18,125.43,34.73,17.23,10.93,10.20,3.72,1.13,25.01,1.09,0.77,0.38,0.10,2.56,0.04
0.35,0.46,0.44,0.14,31.49,82.40,53.03,17.86,13.86,11.30,3.85,1.91,25.32,1.40,0.81,0.39,0.18,2.59,0.06
0.37,0.46,0.48,0.16,33.80,141.72,40.74,16.70,11.71,11.15,4.12,1.55,27.80,1.00,0.85,0.41,0.14,2.79,0.04
0.36,0.46,0.48,0.16,31.37,125.09,42.46,15.65,10.10,7.89,3.11,1.18,26.93,0.76,0.79,0.32,0.11,2.72,0.03
0.36,0.46,0.47,0.15,23.90,77.27,35.85,14.21,8.59,9.89,2.86,0.99,19.83,0.78,0.61,0.29,0.09,2.01,0.03
0.37,0.47,0.48,0.16,23.47,64.42,32.80,16.24,9.49,9.44,3.47,1.21,18.48,1.06,0.58,0.34,0.10,1.82,0.04
0.38,0.48,0.48,0.18,22.90,63.10,32.70,16.25,10.30,9.50,3.07,1.54,18.03,0.99,0.56,0.30,0.13,1.75,0.04
0.36,0.47,0.46,0.15,30.35,105.66,47.21,15.85,10.62,10.50,3.48,1.41,25.12,1.14,0.76,0.35,0.13,2.52,0.05
0.36,0.46,0.45,0.15,26.03,91.18,37.74,14.92,11.76,9.35,3.19,1.12,21.55,0.61,0.66,0.32,0.10,2.17,0.02
0.36,0.46,0.48,0.14,35.23,143.65,48.15,16.45,12.81,9.71,3.87,0.77,29.19,0.87,0.90,0.40,0.07,3.09,0.03
0.34,0.45,0.44,0.14,41.23,168.96,54.49,17.91,11.06,10.89,3.92,2.01,34.91,1.46,1.07,0.41,0.19,3.63,0.06
0.37,0.47,0.48,0.17,28.21,100.55,39.95,18.37,10.32,9.13,3.15,1.10,23.71,0.97,0.69,0.31,0.10,2.31,0.04
0.35,0.45,0.46,0.13,35.00,151.80,44.18,15.28,10.79,9.39,3.67,1.25,28.29,1.05,0.90,0.38,0.12,3.06,0.04
0.38,0.47,0.47,0.18,19.90,51.63,25.53,16.52,11.20,8.12,2.96,1.38,15.32,0.97,0.49,0.29,0.12,1.51,0.04
0.34,0.45,0.44,0.13,35.22,148.89,43.44,17.98,11.28,9.11,4.44,0.83,29.59,0.95,0.92,0.46,0.08,3.08,0.04
0.39,0.49,0.48,0.18,34.74,140.02,45.70,15.47,11.47,11.38,3.11,1.77,29.46,1.06,0.83,0.30,0.15,2.84,0.04
0.37,0.47,0.47,0.16,28.36,97.98,37.03,16.13,11.37,8.33,3.23,1.15,23.77,0.81,0.70,0.32,0.10,2.34,0.03
0.39,0.47,0.50,0.19,25.15,107.77,33.32,13.80,9.11,8.76,3.68,0.90,20.29,0.94,0.61,0.36,0.08,1.98,0.03
0.36,0.47,0.45,0.16,26.95,97.02,34.42,14.16,11.65,11.40,2.79,1.93,21.92,1.15,0.66,0.28,0.17,2.16,0.05
0.39,0.48,0.51,0.19,18.97,40.30,31.41,12.52,9.44,8.54,3.06,0.91,14.88,0.51,0.46,0.30,0.08,1.45,0.02
